name,registrationNo,rollNo,program,section,department,subject,semester,isPhysicallyImpaired
Sachin Kunwar,024D058-24,BCE-D-58,BCE,D,Computer Engineering,COMP204,4,true
Umesh Pandey,024D059-24,BCE-D-59,BCE,D,Computer Engineering,COMP204,4,false
Ravi Gyawali,024D060-24,BCE-D-60,BCE,D,Computer Engineering,COMP204,4,false
Mohit Silwal,024D061-24,BCE-D-61,BCE,D,Computer Engineering,COMP204,4,false
Raman Pradhan,024D062-24,BCE-D-62,BCE,D,Computer Engineering,COMP204,4,false
Shiva Rana,024D063-24,BCE-D-63,BCE,D,Computer Engineering,COMP204,4,false
Aryan Pant,024D064-24,BCE-D-64,BCE,D,Computer Engineering,COMP204,4,false
Priya Oli,024D065-24,BCE-D-65,BCE,D,Computer Engineering,COMP204,4,false
Sachin Gyawali,024D066-24,BCE-D-66,BCE,D,Computer Engineering,COMP204,4,false
Om Rijal,024D067-24,BCE-D-67,BCE,D,Computer Engineering,COMP204,4,false
Ayush Ranjitkar,024D068-24,BCE-D-68,BCE,D,Computer Engineering,COMP204,4,false
Ravi Regmi,024D069-24,BCE-D-69,BCE,D,Computer Engineering,COMP204,4,true
Suman Carki,024D070-24,BCE-D-70,BCE,D,Computer Engineering,COMP204,4,false
Nisha Acharya,024D071-24,BCE-D-71,BCE,D,Computer Engineering,COMP204,4,false
Shivam Lamsal,024D072-24,BCE-D-72,BCE,D,Computer Engineering,COMP204,4,false
Praveen Niroula,024D073-24,BCE-D-73,BCE,D,Computer Engineering,COMP204,4,false
Vivek Rana,024D074-24,BCE-D-74,BCE,D,Computer Engineering,COMP204,4,false
Umesh Prajapati,024D075-24,BCE-D-75,BCE,D,Computer Engineering,COMP204,4,false
Sarita Singh,024D076-24,BCE-D-76,BCE,D,Computer Engineering,COMP204,4,false
Puja Karki,024D077-24,BCE-D-77,BCE,D,Computer Engineering,COMP204,4,false
Rohit Lama,024D078-24,BCE-D-78,BCE,D,Computer Engineering,COMP204,4,false
Roshan Subedi,024D079-24,BCE-D-79,BCE,D,Computer Engineering,COMP204,4,false
Bhawana Subedi,024D080-24,BCE-D-80,BCE,D,Computer Engineering,COMP204,4,false
Puja Shahi,024D081-24,BCE-D-81,BCE,D,Computer Engineering,COMP204,4,false
